COMMISSARIAT À L'ENERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES — CEA/SACLAY	COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES — CEA/SACLAY	99
MINISTÈRE DE L'INTÉRIEUR	MINISTÈRE DE L'INTERIEUR	98
VILLE DE CHAMBRAY-LÈS-TOURS	VILLE DE CHAMBRAY-LES-TOURS	98
SITCOM CÔTE SUD DES LANDES	SITCOM COTE SUD DES LANDES	98
CCI SEINE ET MARNE	CCI SEINE-ET-MARNE	100
SITCOM COTE SUD DES LANDES	SITCOM CÔTE SUD DES LANDES	98
VILLE D'ANTIBES JUAN-LES-PINS	VILLE D'ANTIBES — JUAN-LES-PINS	97
UNIVERSITÉ TOULOUSE 1, SCIENCES SOCIALES	UNIVERSITÉ TOULOUSE 1, SCIENCES SOCIALE	99
VILLE DE BOULOGNE BILLANCOURT	VILLE DE BOULOGNE-BILLANCOURT	100
MAIRIE DE LA VERRIERE	MAIRIE DE LA VERRIÈRE	98
OFFICE PUBLIC DE L'HABITAT DE L'AGGLOMÉRATION DE LA ROCHELLE	OFFICE PUBLIC DE L’HABITAT DE L'AGGLOMÉRATION DE LA ROCHELLE	100
CG LOIR ET CHER	CG LOIR-ET-CHER	100
COMMUNAUTÉ DE COMMUNES CLUSES-ARVE ET MONTAGNES	COMMUNAUTÉ DE COMMUNES CLUSES ARVE ET MONTAGNES	100
CENTRE HOSPITALIER DE BRIVE	CENTRE HOSPITALIER DE RIVES	96
SIVOM SAINT-GAUDENS MONTREJEAU — ASPET	SIVOM SAINT-GAUDENS MONTREJEAU ASPET	97
SPLA L'OR AMENAGEMENT	SPLA L'OR AMÉNAGEMENT	98
MINDEF/SGA/SPAC/ SOUS-DIRECTION DES ACHATS	MINDEF/SGA/SPAC/SOUS-DIRECTION DES ACHATS	99
VILLE DE CHOISY LE ROI	VILLE DE CHOISY-LE-ROI	100
UNIVERSITE TOULOUSE II — JEAN JAURES	UNIVERSITÉ TOULOUSE II — JEAN JAURES	99
CCI REGION PARIS ÎLE-DE-FRANCE	CCI RÉGION PARIS ÎLE-DE-FRANCE	98
CENTRE INTERNATIONAL ÉTUDES PÉDAGOGIQUES	CTRE INTERNATIONAL ÉTUDES PÉDAGOGIQUES	97
SOCIÉTÉ IMMOBILIÈRE DU DÉPARTEMENT DE LA RÉUNION, SOCIÉTÉ ANONYME D'ECONOMIE MIXTE (SEM) CRÉÉE EN APPLICATION DE L'ARTICLE 2 DE LA LOI DU 30.4.1946 AU CAPITAL DE 125 000 000 EUR — RCS SAINT-DENIS N°74 B 118 — SIRET: 310 863 592 00013	SOCIÉTÉ IMMOBILIÈRE DU DÉPARTEMENT DE LA RÉUNION SOCIÉTÉ ANONYME D'ÉCONOMIE MIXTE (SEM) CRÉÉE EN APPLICATION DE L'ARTICLE 2 DE LA LOI DU 30.4.1946 AU CAPITAL DE 125 000 000 EUR — RCS SAINT DENIS N° 74 B 118 — SIRET: 310 863 592 00013	100
SOCIÉTÉ D'ÉQUIPEMENT DU RHÔNE ET DE LYON	SOCIÉTÉ D'EQUIPEMENT DU RHÔNE ET DE LYON	99
VILLE DE VAL D'ISÈRE	VILLE DE VAL-D'ISÈRE	100
AB HABITAT — SCIC D'HLM D'ARGENTEUIL-BEZONS — 807 567 136 RCS PONTOISE — SIRET 807 567 136 000 13 — NAF 6820 A	AB HABITAT- SCIC D'HLM D'ARGENTEUIL-BEZONS — 807 567 136 RCS PONTOISE — SIRET 807 567 136 000 13- NAF 6820 A	99
